,High0,Low0,Close0,Volume0,High1,Low1,Close1,Volume1,High2,Low2,Close2,Volume2,High3,Low3,Close3,Volume3,High4,Low4,Close4,Volume4,High5,Low5,Close5,Volume5,High6,Low6,Close6,Volume6,High7,Low7,Close7,Volume7,High8,Low8,Close8,Volume8
0,43.96875,43.75,43.9375,1003200.0,44.25,43.96875,44.25,480500.0,44.375,44.125,44.34375,201300.0,44.84375,44.375,44.8125,529400.0,45.09375,44.46875,45.0,531500.0,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0
1,44.25,43.96875,44.25,480500.0,44.375,44.125,44.34375,201300.0,44.84375,44.375,44.8125,529400.0,45.09375,44.46875,45.0,531500.0,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0
2,44.375,44.125,44.34375,201300.0,44.84375,44.375,44.8125,529400.0,45.09375,44.46875,45.0,531500.0,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0
3,44.84375,44.375,44.8125,529400.0,45.09375,44.46875,45.0,531500.0,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0
4,45.09375,44.46875,45.0,531500.0,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0
5,45.0625,44.71875,44.96875,492100.0,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0
6,45.125,44.90625,44.96875,596100.0,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0
7,44.8125,44.5625,44.65625,122100.0,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0,43.78125,43.5625,43.71875,513600.0
8,44.75,44.53125,44.71875,379600.0,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0,43.78125,43.5625,43.71875,513600.0,43.875,43.46875,43.6875,373700.0
9,45.125,44.78125,44.9375,19500.0,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0,43.78125,43.5625,43.71875,513600.0,43.875,43.46875,43.6875,373700.0,44.25,43.71875,44.25,26300.0
10,44.875,44.59375,44.59375,42500.0,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0,43.78125,43.5625,43.71875,513600.0,43.875,43.46875,43.6875,373700.0,44.25,43.71875,44.25,26300.0,44.375,44.125,44.34375,44500.0
11,44.46875,43.40625,43.46875,374800.0,43.53125,43.28125,43.4375,210900.0,43.9375,42.8125,43.40625,378100.0,43.5625,43.34375,43.5625,34900.0,43.78125,43.5625,43.71875,513600.0,43.875,43.46875,43.6875,373700.0,44.25,43.71875,44.25,26300.0,44.375,44.125,44.34375,44500.0,44.4375,44.1875,44.40625,66200.0
